,name,salary,employer,info,site
86,Python-разработчик в R&D отдел,"{'a_min_salary': 100000, 'b_max_salary': 150000, 'x_currency': 'руб'}",ООО Селфсек,https://hh.ru/vacancy/49299311?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
87,Data Scientist,"{'a_min_salary': 100000, 'b_max_salary': 250000, 'x_currency': 'руб'}",Точка,https://hh.ru/vacancy/49423146?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
88,Python developer,,Адвентум,https://hh.ru/vacancy/49622324?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
89,Разработчик Python,"{'a_min_salary': None, 'b_max_salary': 230000, 'x_currency': 'руб'}",Kelly Services,https://hh.ru/vacancy/48925652?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
90,Python Developer,,ООО ЦИФРА,https://hh.ru/vacancy/48804528?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
91,Инженер-программист Python,,ООО Научно-исследовательский центр СТМ,https://hh.ru/vacancy/49690034?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
92,Разработчик Python,,НПФ БУДУЩЕЕ,https://hh.ru/vacancy/49680877?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
93,Python developer,"{'a_min_salary': None, 'b_max_salary': 300000, 'x_currency': 'руб'}",Spice Agency,https://hh.ru/vacancy/47820200?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
94,Junior Python Developer (Remote),,Cloud Linux,https://hh.ru/vacancy/49547539?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
95,Python Developer,,Perfect Panel,https://hh.ru/vacancy/44655490?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
96,Python разработчик,"{'a_min_salary': 70000, 'b_max_salary': 140000, 'x_currency': 'руб'}",ООО СтратоСфера,https://hh.ru/vacancy/49202940?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
97,Python-разработчик систем сбора,"{'a_min_salary': 100000, 'b_max_salary': 150000, 'x_currency': 'руб'}",ООО Селфсек,https://hh.ru/vacancy/49299293?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
98,Python-разработчик (Middle) удаленно,"{'a_min_salary': None, 'b_max_salary': 220000, 'x_currency': 'руб'}",Латера,https://hh.ru/vacancy/49268616?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
99,Python разработчик (remote),,ООО Accenture,https://hh.ru/vacancy/49636457?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
100,Разработчик/DevOPS (Ansible/Python),,ПАО «МТС» ,https://hh.ru/vacancy/49650918?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=5
